City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
222,Christchurch,NZ,-43.5333,172.6333,67.41,57,40,17.27,scattered clouds,2022-03-14 01:27:30
223,Botou,CN,38.0667,116.5667,57.31,47,0,8.52,clear sky,2022-03-14 01:31:28
224,Cayenne,GF,4.9333,-52.3333,74.08,1,100,4.61,overcast clouds,2022-03-14 01:31:28
225,Andenes,NO,69.3143,16.1194,35.58,87,100,9.22,overcast clouds,2022-03-14 01:31:29
226,Grindavik,IS,63.8424,-22.4338,36.07,80,75,19.57,broken clouds,2022-03-14 01:31:29
227,Bakel,SN,14.905,-12.4568,79.83,7,37,9.22,scattered clouds,2022-03-14 01:31:30
228,Okha,RU,53.5739,142.9478,19.81,87,100,6.46,overcast clouds,2022-03-14 01:31:30
229,Pudozh,RU,61.8099,36.5345,24.4,91,100,4.14,overcast clouds,2022-03-14 01:31:31
230,Hobyo,SO,5.3505,48.5268,78.1,73,31,15.84,scattered clouds,2022-03-14 01:31:31
231,Naze,JP,28.3667,129.4833,68.92,78,7,4.36,clear sky,2022-03-14 01:31:32
232,Neiafu,TO,-18.65,-173.9833,84.88,79,40,9.22,scattered clouds,2022-03-14 01:31:32
233,Wurselen,DE,50.8167,6.1333,49.93,78,100,5.01,overcast clouds,2022-03-14 01:31:33
234,Pemangkat,ID,1.1667,108.9667,83.08,65,100,0.87,overcast clouds,2022-03-14 01:31:34
235,Haines Junction,CA,60.7522,-137.5108,13.95,52,100,4.61,overcast clouds,2022-03-14 01:31:34
236,Deputatskiy,RU,69.3,139.9,-9.56,96,100,1.7,overcast clouds,2022-03-14 01:31:35
237,Hilton Head Island,US,32.2163,-80.7526,46.45,67,0,0.0,clear sky,2022-03-14 01:26:43
238,Mizdah,LY,31.4451,12.9801,53.73,42,4,6.38,clear sky,2022-03-14 01:31:36
239,Erenhot,CN,43.6475,111.9767,34.9,51,100,11.39,overcast clouds,2022-03-14 01:31:36
240,Ahipara,NZ,-35.1667,173.1667,73.98,58,3,5.03,clear sky,2022-03-14 01:31:37
241,Kahului,US,20.8947,-156.47,84.22,51,0,18.41,clear sky,2022-03-14 01:31:37
242,Gusau,NG,12.1628,6.6614,75.76,18,100,10.4,overcast clouds,2022-03-14 01:31:38
243,Huron,US,41.1501,-82.5499,40.66,70,3,10.42,clear sky,2022-03-14 01:31:38
244,Naukot,PK,24.8587,69.4024,76.03,38,5,10.45,clear sky,2022-03-14 01:31:39
245,Mahebourg,MU,-20.4081,57.7,78.26,94,40,5.75,scattered clouds,2022-03-14 01:31:39
246,Shirokiy,RU,49.758,129.523,21.69,83,100,6.44,overcast clouds,2022-03-14 01:31:40
247,Mangrol,IN,21.1167,70.1167,77.63,46,4,8.32,clear sky,2022-03-14 01:31:40
248,Bethel,US,41.3712,-73.414,28.49,71,100,10.36,overcast clouds,2022-03-14 01:31:41
249,College,US,64.8569,-147.8028,16.47,37,20,6.91,few clouds,2022-03-14 01:31:41
250,Svetlogorsk,BY,52.6333,29.7333,28.38,75,12,4.83,few clouds,2022-03-14 01:31:42
251,Topchikha,RU,52.8192,83.1185,-1.46,94,92,7.07,overcast clouds,2022-03-14 01:31:42
252,Porto Novo,BJ,6.4965,2.6036,80.56,81,21,5.55,few clouds,2022-03-14 01:31:43
253,Asyut,EG,27.181,31.1837,46.87,53,0,15.79,clear sky,2022-03-14 01:31:44
